120.433000 0 -0 0.0379366
120.466000 7.9e-06 -1.31e-05 0.0379332
120.499000 9.8e-06 -3.53e-05 0.0379382
120.532000 8e-07 -3.67e-05 0.0379362
120.565000 -2.18e-05 -3.11e-05 0.0379299
120.599000 -7.24e-05 -2.85e-05 0.0379239
120.632000 -0.0001415 -2.55e-05 0.0379219
120.665000 -0.0001972 -1.8e-06 0.0379466
120.699000 -0.0002399 2.41e-05 0.0379612
120.732000 -0.0002823 5.9e-06 0.037971
120.765000 -0.0003263 -4.71e-05 0.0379863
120.799000 -0.0003391 -9.75e-05 0.0380145
120.832000 -0.0003487 -0.0001508 0.0380265
120.865000 -0.0004005 -0.0002346 0.0380379
120.899000 -0.0004707 -0.0003064 0.038036
120.932000 -0.0005377 -0.0003578 0.0380266
120.965000 -0.0006195 -0.0004344 0.0380163
120.999000 -0.0006881 -0.0005245 0.0380151
121.032000 -0.0007436 -0.0006242 0.0380197
121.065000 -0.000787 -0.0007455 0.0380249
121.099000 -0.0007992 -0.0008596 0.0380365
121.132000 -0.0007672 -0.0009554 0.0380469
121.165000 -0.0007346 -0.0010702 0.0380565
121.199000 -0.0007056 -0.0012162 0.0380644
121.232000 -0.0006757 -0.0013701 0.0380661
121.265000 -0.0006546 -0.0015412 0.0380806
121.299000 -0.0006751 -0.0017456 0.038092
121.332000 -0.0007247 -0.0019453 0.0381012
121.365000 -0.0007874 -0.0021202 0.0380951
121.399000 -0.0008188 -0.0022955 0.038089
121.432000 -0.0008242 -0.0025012 0.038082
121.465000 -0.0008409 -0.0027128 0.0380905
121.499000 -0.0008595 -0.0029316 0.0380906
121.532000 -0.000888 -0.0031601 0.0380783
121.565000 -0.000918 -0.0033956 0.0380835
121.599000 -0.000946 -0.0036268 0.038093
121.632000 -0.0009722 -0.0038553 0.0381155
121.665000 -0.0009848 -0.0040811 0.0381311
121.699000 -0.0010186 -0.0043273 0.03813
121.732000 -0.0010619 -0.0045737 0.038118
121.765000 -0.0011054 -0.0048475 0.0381306
121.799000 -0.0011394 -0.0051643 0.0381457
121.832000 -0.0011996 -0.0054879 0.0381552
121.866000 -0.0012776 -0.0058165 0.0381642
121.899000 -0.0013358 -0.0061502 0.0381599
121.932000 -0.0013972 -0.0064826 0.0381557
121.966000 -0.0015021 -0.0067886 0.0381601
121.999000 -0.0016408 -0.0070928 0.0381555
122.032000 -0.0017805 -0.0073978 0.0381327
122.065000 -0.0019381 -0.007702 0.0381207
122.099000 -0.0021032 -0.0080367 0.0381115
122.132000 -0.0022455 -0.0083793 0.0380925
122.165000 -0.0024023 -0.0087271 0.0380774
