530155900,22.5797490603,113.9264646241,4,12,275.711029,275.796375,-16,-2
530156000,22.5797490478,113.9264646258,4,12,275.708527,275.633221,22,-11
530156100,22.5797490628,113.9264646269,4,12,275.682434,275.655686,-12,0
530156200,22.5797490448,113.9264646865,4,12,275.681213,275.795454,15,2
530156300,22.5797490377,113.9264646784,4,12,275.721588,276.231003,-26,6
530156400,22.5797490507,113.9264646760,4,12,275.823792,276.105344,-7,-11
530156500,22.5797490607,113.9264646731,4,12,275.857330,275.768034,16,-5
530156600,22.5797490513,113.9264646818,4,12,275.839569,275.754376,9,-3
530156700,22.5797490524,113.9264646769,4,12,275.841400,275.795454,-6,3
530156800,22.5797490537,113.9264646690,4,12,275.829834,275.746055,0,-4
530156900,22.5797490575,113.9264646821,4,12,275.797485,275.606124,2,-10
530157000,22.5797490366,113.9264646760,4,12,275.750610,275.606124,7,10
530157100,22.5797490578,113.9264646862,4,12,275.707916,275.826178,-22,-8
530157200,22.5797490658,113.9264646775,4,12,275.729797,275.826178,21,12
530157300,22.5797490657,113.9264646709,4,12,275.771881,276.120697,13,-13
530157400,22.5797490755,113.9264646708,4,12,275.866089,276.239974,-5,-6
530157500,22.5797490833,113.9264646686,4,12,275.953613,275.958429,13,-1
530157600,22.5797490668,113.9264646681,4,12,275.969269,276.014624,5,-2
530157700,22.5797490918,113.9264646712,4,12,275.993073,276.028762,-14,-6
530157800,22.5797490794,113.9264646705,4,12,276.019409,276.071391,21,9
530157900,22.5797491056,113.9264646660,4,12,276.036591,275.802098,-8,-7
530158000,22.5797490985,113.9264646639,4,12,276.002716,275.901604,22,-1
530158100,22.5797490921,113.9264646654,4,12,276.003143,276.021582,-1,-5
530158200,22.5797490556,113.9264646910,4,12,276.068298,276.394416,-5,-2
530158300,22.5797490523,113.9264646915,4,12,276.129578,276.120697,-3,-3
530158400,22.5797490488,113.9264646900,4,12,276.153351,276.308148,-4,1
530158500,22.5797490614,113.9264647000,4,12,276.212891,276.393868,-3,-3
530158600,22.5797490750,113.9264646810,4,12,276.246643,276.197346,17,8
530158700,22.5797490939,113.9264646679,4,12,276.293915,276.485345,12,-19
530158800,22.5797490634,113.9264646813,4,12,276.364807,276.577240,19,-12
530158900,22.5797490719,113.9264646839,4,12,276.440521,276.606687,-28,9
530159000,22.5797490748,113.9264646803,4,12,276.527100,276.747324,4,5
530159100,22.5797490743,113.9264646800,4,12,276.565491,276.588013,8,-7
