557293900,22.5797885510,113.9265452679,4,12,0.001526,0.000000,0,0
557294000,22.5797885552,113.9265452612,4,12,272.650055,272.650651,4,33
557294100,22.5797885647,113.9265452567,4,12,272.633850,271.845570,4,-7
557294200,22.5797885491,113.9265452412,4,12,272.654938,273.867648,11,-6
557294300,22.5797885556,113.9265452463,4,12,272.737335,274.204297,-16,-11
557294400,22.5797885388,113.9265452385,4,12,272.852173,273.854657,6,3
557294500,22.5797885375,113.9265452347,4,12,272.932770,273.383980,-14,-5
557294600,22.5797885598,113.9265452337,4,12,273.028778,273.934530,-1,-6
557294700,22.5797885678,113.9265452519,4,12,273.179016,274.184280,20,-2
557294800,22.5797885363,113.9265452447,4,12,273.344818,273.934530,10,16
557294900,22.5797885321,113.9265452328,4,12,273.440186,273.542827,-32,-7
557295000,22.5797885619,113.9265452444,4,12,273.429535,273.343429,-2,-13
557295100,22.5797885450,113.9265452482,4,12,273.457703,273.515180,28,13
557295200,22.5797885336,113.9265452334,4,12,273.469513,273.092825,-6,12
557295300,22.5797885250,113.9265452224,4,12,273.387177,272.798513,-13,-14
557295400,22.5797885281,113.9265452291,4,12,273.268829,272.827324,-9,-10
557295500,22.5797885404,113.9265452291,4,12,273.195038,272.989327,1,8
557295600,22.5797885420,113.9265452362,4,12,273.171265,273.132600,13,-2
557295700,22.5797885360,113.9265452430,4,12,273.116272,272.756410,3,7
557295800,22.5797885263,113.9265452445,4,12,273.139832,273.516809,-8,6
557295900,22.5797885317,113.9265452493,4,12,273.217255,273.396221,-8,0
557296000,22.5797885264,113.9265452496,4,12,273.300079,273.769618,3,5
557296100,22.5797885362,113.9265452549,4,12,273.346680,273.263665,-5,1
557296200,22.5797885249,113.9265452318,4,12,273.367645,273.475209,8,4
557296300,22.5797885185,113.9265452412,4,12,273.429901,273.934530,-11,-21
557296400,22.5797885332,113.9265452658,4,12,273.540894,273.705578,-7,8
557296500,22.5797885373,113.9265452504,4,12,273.579498,273.573998,15,22
557296600,22.5797885294,113.9265452428,4,12,273.688995,273.553192,6,-16
557296700,22.5797885329,113.9265452437,4,12,273.691315,273.820675,-11,-7
557296800,22.5797885191,113.9265452541,4,12,273.728119,273.494488,-2,-1
557296900,22.5797885406,113.9265452706,4,12,273.697418,273.383704,-9,9
557297000,22.5797885440,113.9265452655,4,12,273.594849,272.980765,19,16
557297100,22.5797885044,113.9265452917,4,12,273.412537,272.526618,7,-7
557297200,22.5797885018,113.9265452988,4,12,273.205109,272.438599,-38,-12
557297300,22.5797885351,113.9265453113,4,12,273.081177,273.125145,-5,7
557297400,22.5797885348,113.9265453293,4,12,273.059448,273.074252,33,12
557297500,22.5797885154,113.9265453152,4,12,273.030365,272.873384,2,18
557297600,22.5797885280,113.9265453228,4,12,272.971436,272.863785,-22,-14
557297700,22.5797885299,113.9265453139,4,12,272.909180,272.742280,13,7
557297800,22.5797885063,113.9265453239,4,12,272.865814,272.891702,1,-9
557297900,22.5797885178,113.9265453245,4,12,272.757446,272.003101,-27,11
557298000,22.5797885266,113.9265453323,4,12,272.573364,272.255568,12,1
557298100,22.5797885321,113.9265453293,4,12,272.454468,272.289759,9,7
557298200,22.5797885074,113.9265453247,4,12,272.368591,272.289759,6,-3
557298300,22.5797885409,113.9265453130,4,12,272.328491,273.013335,-28,-4
557298400,22.5797885123,113.9265453213,4,12,272.434357,273.123966,38,-10
557298500,22.5797885366,113.9265453033,4,12,272.595581,273.534212,-29,8
557298600,22.5797885443,113.9265453112,4,12,272.751648,273.294266,23,-19
557298700,22.5797885214,113.9265453402,4,12,272.857391,272.882070,5,7
557298800,22.5797885228,113.9265453228,4,12,272.871277,273.012325,-20,27
557298900,22.5797885412,113.9265453257,4,12,272.915649,273.174606,1,-16
557299000,22.5797885529,113.9265453227,4,12,272.916077,272.742280,19,1
557299100,22.5797885335,113.9265453112,4,12,272.828644,272.435911,12,-1
557299200,22.5797885488,113.9265453084,4,12,272.759766,272.907163,-24,17
557299300,22.5797885626,113.9265453025,4,12,272.789886,272.985410,20,-3
557299400,22.5797885606,113.9265452991,4,12,272.878906,273.344234,11,-6
557299500,22.5797885627,113.9265453145,4,12,272.988251,273.055225,-3,-3
557299600,22.5797885284,113.9265453019,4,12,273.013123,273.074732,5,16
557299700,22.5797885462,113.9265453122,4,12,273.075531,273.496173,-38,-13
557299800,22.5797885387,113.9265453128,4,12,273.156372,273.285544,17,11
557299900,22.5797885707,113.9265452852,4,12,273.194702,273.184561,-9,-1
557300000,22.5797885586,113.9265453201,4,12,273.235626,273.575782,23,-23
557300100,22.5797885545,113.9265453196,4,12,273.365234,273.887140,-12,33
557300200,22.5797885460,113.9265453277,4,12,273.554932,274.182206,5,-6
557300300,22.5797885491,113.9265453157,4,12,273.701752,273.785456,-12,11
557300400,22.5797885565,113.9265453233,4,12,273.758881,273.511764,9,-13
557300500,22.5797885390,113.9265453333,4,12,273.754486,273.542902,2,9
557300600,22.5797885390,113.9265453233,4,12,273.735077,273.423109,-13,9
557300700,22.5797885559,113.9265453253,4,12,273.659515,272.867445,-6,-10
557300800,22.5797885500,113.9265453132,4,12,273.492554,272.483001,20,4
557300900,22.5797885489,113.9265453295,4,12,273.341370,273.151171,-5,-13
557301000,22.5797885544,113.9265453601,4,12,273.275482,272.979707,0,16
557301100,22.5797885504,113.9265452829,4,12,273.219025,272.849109,5,27
557301200,22.5797885530,113.9265453041,4,12,273.108093,272.422291,-7,-32
557301300,22.5797885401,113.9265453067,4,12,272.932556,272.361119,2,19
