Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
 tow, lat,lon:387136600, 22.5798184178, 113.9265842100,4,12 
 tow, lat,lon:387136700, 22.5798184196, 113.9265842028,4,12 
 tow, lat,lon:387136800, 22.5798184186, 113.9265842036,4,12 
 tow, lat,lon:387136900, 22.5798184175, 113.9265841971,4,12 
 tow, lat,lon:387137000, 22.5798184116, 113.9265841950,4,12 
 tow, lat,lon:387137100, 22.5798184227, 113.9265841955,4,12 
 tow, lat,lon:387137200, 22.5798184165, 113.9265841846,4,12 
 tow, lat,lon:387137300, 22.5798184203, 113.9265841873,4,12 
 tow, lat,lon:387137400, 22.5798184262, 113.9265841824,4,12 
 tow, lat,lon:387137500, 22.5798184181, 113.9265841882,4,12 
 tow, lat,lon:387137600, 22.5798184274, 113.9265841928,4,12 
 tow, lat,lon:387137700, 22.5798184268, 113.9265841737,4,12 
 tow, lat,lon:387137800, 22.5798184157, 113.9265841779,4,12 
 tow, lat,lon:387137900, 22.5798184095, 113.9265841744,4,12 
 tow, lat,lon:387138000, 22.5798184206, 113.9265841727,4,12 
 tow, lat,lon:387138100, 22.5798184224, 113.9265841802,4,12 
 tow, lat,lon:387138200, 22.5798184282, 113.9265841748,4,12 
 tow, lat,lon:387138300, 22.5798184281, 113.9265841699,4,12 
 tow, lat,lon:387138400, 22.5798184125, 113.9265841922,4,12 
 tow, lat,lon:387138500, 22.5798184101, 113.9265841966,4,12 
 tow, lat,lon:387138600, 22.5798184124, 113.9265841991,4,12 
 tow, lat,lon:387138700, 22.5798184103, 113.9265841974,4,12 
 tow, lat,lon:387138800, 22.5798184117, 113.9265841961,4,12 
 tow, lat,lon:387138900, 22.5798184131, 113.9265841997,4,12 
 tow, lat,lon:387139000, 22.5798184190, 113.9265841983,4,12 
 tow, lat,lon:387139100, 22.5798184210, 113.9265841896,4,12 
 tow, lat,lon:387139200, 22.5798184148, 113.9265841922,4,12 
 tow, lat,lon:387139300, 22.5798184171, 113.9265841946,4,12 
 tow, lat,lon:387139400, 22.5798184318, 113.9265841878,4,12 
 tow, lat,lon:387139500, 22.5798184244, 113.9265841906,4,12 
 tow, lat,lon:387140000, 22.5798184336, 113.9265841795,4,12 
 tow, lat,lon:387140100, 22.5798184251, 113.9265841864,4,12 
 tow, lat,lon:387140200, 22.5798184343, 113.9265841822,4,12 
 tow, lat,lon:387140300, 22.5798184250, 113.9265841809,4,12 
 tow, lat,lon:387140400, 22.5798183928, 113.9265841996,4,12 
 tow, lat,lon:387140500, 22.5798183924, 113.9265842042,4,12 
 tow, lat,lon:387140600, 22.5798184012, 113.9265842038,4,12 
 tow, lat,lon:387140700, 22.5798183969, 113.9265841996,4,12 
 tow, lat,lon:387140800, 22.5798183978, 113.9265841939,4,12 
 tow, lat,lon:387140900, 22.5798183953, 113.9265841944,4,12 
 tow, lat,lon:387141000, 22.5798183981, 113.9265841856,4,12 
 tow, lat,lon:387141100, 22.5798183963, 113.9265841971,4,12 
 tow, lat,lon:387141200, 22.5798184041, 113.9265841906,4,12 
 tow, lat,lon:387141300, 22.5798183937, 113.9265841884,4,12 
 tow, lat,lon:387141400, 22.5798184033, 113.9265841848,4,12 
 tow, lat,lon:387141500, 22.5798183994, 113.9265841874,4,12 
 tow, lat,lon:387141600, 22.5798184068, 113.9265841728,4,12 
 tow, lat,lon:387141700, 22.5798184093, 113.9265841776,4,12 
 tow, lat,lon:387141800, 22.5798184020, 113.9265841751,4,12 
 tow, lat,lon:387141900, 22.5798184065, 113.9265841739,4,12 
 tow, lat,lon:387142000, 22.5798184102, 113.9265841674,4,12 
 tow, lat,lon:387142100, 22.5798184069, 113.9265841679,4,12 
 tow, lat,lon:387142200, 22.5798184062, 113.9265841699,4,12 
 tow, lat,lon:387142300, 22.5798184084, 113.9265841722,4,12 
