Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
ok1519539812.d%d 115,0,-437,-383,34338,-102,-29,-112,0 
1519539812.d%d 135,0,-437,-383,34338,-102,-29,-112,0 
1519539812.d%d 156,23031522,-51,201,17044,-3,-12,4,-503 
1519539812.d%d 177,23031562,-67,208,17035,1,-14,-4,-519 
1519539812.d%d 197,23031562,-67,208,17035,1,-14,-4,-519 
1519539812.d%d 218,23031582,-53,198,17025,-1,-16,1,-495 
1519539812.d%d 238,23031582,-53,198,17025,-1,-16,1,-495 
1519539812.d%d 259,23031582,-53,198,17025,-1,-16,1,-495 
1519539812.d%d 280,23031602,-48,208,17037,-3,-11,0,-495 
1519539812.d%d 300,23031623,-64,208,17036,0,-13,-3,-503 
1519539812.d%d 320,23031683,-51,212,17023,-6,-14,-5,-511 
1519539812.d%d 341,23031683,-51,212,17023,-6,-14,-5,-511 
1519539812.d%d 362,23031743,-53,191,17027,-3,-11,-4,-503 
1519539812.d%d 383,23031743,-53,191,17027,-3,-11,-4,-503 
1519539812.d%d 404,23031783,-63,206,17038,-1,-14,-2,-503 
1519539812.d%d 425,23031783,-63,206,17038,-1,-14,-2,-503 
1519539812.d%d 445,23031783,-63,206,17038,-1,-14,-2,-503 
1519539812.d%d 466,23031783,-63,206,17038,-1,-14,-2,-503 
1519539812.d%d 487,23031803,-49,219,17054,-5,-11,-2,-503 
1519539812.d%d 508,23031884,-66,193,17026,0,-16,-5,-503 
1519539812.d%d 528,23031884,-66,193,17026,0,-16,-5,-503 
1519539812.d%d 549,23031924,-63,220,17015,-3,-11,-1,-495 
1519539812.d%d 570,23031944,-46,213,16994,1,-7,-4,-503 
1519539812.d%d 590,23031964,-49,216,17010,0,-13,-2,-503 
1519539812.d%d 611,23031984,-70,206,17010,-5,-13,3,-503 
1519539812.d%d 631,23031984,-70,206,17010,-5,-13,3,-503 
