Attempting to open the serial port...
Attempting to configure the serial port...
Configured the baud rate...
Configured the flow control...
Configured the number of data bits...
Configured the parity...
Configured the number of stop bits... done.
 tow, lat,lon:309366800, 22.5798094832, 113.9265948055,4,11 
 tow, lat,lon:309366900, 22.5798094732, 113.9265947972,4,11 
 tow, lat,lon:309367000, 22.5798094808, 113.9265947954,4,11 
 tow, lat,lon:309367100, 22.5798094763, 113.9265948027,4,11 
 tow, lat,lon:309367200, 22.5798094796, 113.9265947973,4,11 
 tow, lat,lon:309367300, 22.5798094904, 113.9265948014,4,11 
 tow, lat,lon:309367400, 22.5798094895, 113.9265947943,4,11 
 tow, lat,lon:309367500, 22.5798094818, 113.9265947804,4,11 
 tow, lat,lon:309367600, 22.5798094871, 113.9265947855,4,11 
 tow, lat,lon:309367700, 22.5798094889, 113.9265947784,4,11 
 tow, lat,lon:309367800, 22.5798094780, 113.9265947839,4,11 
 tow, lat,lon:309367900, 22.5798094793, 113.9265947869,4,11 
 tow, lat,lon:309368000, 22.5798094876, 113.9265947847,4,11 
 tow, lat,lon:309368100, 22.5798094770, 113.9265947827,4,11 
 tow, lat,lon:309368200, 22.5798094843, 113.9265947790,4,11 
 tow, lat,lon:309368300, 22.5798094585, 113.9265948380,4,11 
 tow, lat,lon:309368400, 22.5798094527, 113.9265948407,4,11 
 tow, lat,lon:309368500, 22.5798094520, 113.9265948404,4,11 
 tow, lat,lon:309368600, 22.5798094547, 113.9265948451,4,11 
 tow, lat,lon:309368700, 22.5798094521, 113.9265948380,4,11 
 tow, lat,lon:309368800, 22.5798094416, 113.9265948292,4,11 
 tow, lat,lon:309368900, 22.5798094510, 113.9265948377,4,11 
 tow, lat,lon:309369000, 22.5798094360, 113.9265948418,4,11 
 tow, lat,lon:309369100, 22.5798094329, 113.9265948471,4,11 
 tow, lat,lon:309369200, 22.5798094393, 113.9265948413,4,11 
 tow, lat,lon:309369300, 22.5798094262, 113.9265948346,4,11 
 tow, lat,lon:309369400, 22.5798094361, 113.9265948377,4,11 
 tow, lat,lon:309369500, 22.5798094277, 113.9265948468,4,11 
 tow, lat,lon:309369600, 22.5798094225, 113.9265948367,4,11 
 tow, lat,lon:309369700, 22.5798094282, 113.9265948333,4,11 
 tow, lat,lon:309369800, 22.5798094315, 113.9265948353,4,11 
 tow, lat,lon:309369900, 22.5798094156, 113.9265948445,4,11 
 tow, lat,lon:309370000, 22.5798094230, 113.9265948282,4,11 
 tow, lat,lon:309370100, 22.5798094217, 113.9265948283,4,11 
 tow, lat,lon:309370200, 22.5798094211, 113.9265948279,4,11 
 tow, lat,lon:309370300, 22.5798094464, 113.9265948244,4,11 
 tow, lat,lon:309370400, 22.5798094441, 113.9265948184,4,11 
 tow, lat,lon:309370500, 22.5798094399, 113.9265948207,4,11 
 tow, lat,lon:309370600, 22.5798094443, 113.9265948285,4,11 
 tow, lat,lon:309370700, 22.5798094436, 113.9265948243,4,11 
 tow, lat,lon:309370800, 22.5798094385, 113.9265948159,4,11 
 tow, lat,lon:309370900, 22.5798094372, 113.9265948219,4,11 
 tow, lat,lon:309371000, 22.5798094299, 113.9265948225,4,11 
 tow, lat,lon:309371100, 22.5798094331, 113.9265948050,4,11 
 tow, lat,lon:309371200, 22.5798094385, 113.9265948183,4,11 
 tow, lat,lon:309371300, 22.5798094351, 113.9265948129,4,11 
 tow, lat,lon:309371400, 22.5798094316, 113.9265948228,4,11 
 tow, lat,lon:309371500, 22.5798094328, 113.9265948156,4,11 
 tow, lat,lon:309371600, 22.5798094369, 113.9265948119,4,11 
 tow, lat,lon:309371700, 22.5798094379, 113.9265948110,4,11 
 tow, lat,lon:309371800, 22.5798094335, 113.9265948179,4,11 
